t,D0:x,D0:y,D1:x,D1:y,D2:x,D2:y,I0:x,I0:y,I1:x,I1:y,I2:x,I2:y,I3:x,I3:y,I4:x,I4:y,I5:x,I5:y,I6:x,I6:y,I7:x,I7:y,I8:x,I8:y,I9:x,I9:y,I10:x,I10:y,I11:x,I11:y,I0:active,I1:active,I2:active,I3:active,I4:active,I5:active,I6:active,I7:active,I8:active,I9:active,I10:active,I11:active,eff
0.1,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.718945897027851,2.5,4.566540700348121,6.362015017779089,2.93214395306629,4.5380326570362595,3.993070543620999,5.470085950378119,4.840692160606175,6.463534051043244,2.352236405697716,2.895501429951018,2.111634346896932,4.937413450694839,3.8510521411413317,6.490624296496599,2.7007500321532696,5.470948650377976,2.592918797846732,5.016971018309798,3.768643596441532,5.523671542289302,2.680735596140582,5.890302505891682,0.3854880532456931,3.5891700009974583,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.2,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.718945897027851,2.5,4.570401141874322,6.282108215870723,2.9887173914715395,4.481469010875431,4.003238422833195,5.390734742244114,4.842123217449038,6.383546851590379,2.4322245146470944,2.8968807148028066,2.1700817785478885,4.88278838562937,3.862757743225726,6.411485311919832,2.754380089351846,5.4115869037318625,2.649055335621887,4.959973745334517,3.7975210920631763,5.4490653076529,2.7318875151002295,5.828792497057788,0.46470059257077745,3.577972965065036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.30000000000000004,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.718945897027851,2.5,4.574120760590977,6.202194734926625,3.045267438735551,4.424881979194682,4.014701447850197,5.311560257354981,4.843505562197672,6.303558795463255,2.5121962035071115,2.8990088550417514,2.2284459968162627,4.8280744200819745,3.8742520291908105,6.3323153593484625,2.80814374386427,5.352346128471331,2.7052454999381434,4.903029338812787,3.826498849313341,5.374497958331963,2.7831722692061787,5.767393197417707,0.5439296392350561,3.5668933367017033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.4,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.718945897027851,2.5,4.577685890253088,6.122274212840665,3.1017902850949226,4.368267777447816,4.02743846091707,5.23258071254663,4.8448343927273,6.223569832415698,2.592137328399991,2.9020774949458605,2.2867181525305753,4.773262415298288,3.885518960488128,6.253112731493438,2.862054336366631,5.293239039082287,2.761495139700106,4.84614368133527,3.85557544119823,5.299969092753855,2.834600976182559,5.7061144237783985,0.6231761369404097,3.555939223253533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.5,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.718945897027851,2.5,4.5810807983130815,6.042346279054884,3.1582812758749816,4.311621789410822,4.0414067243184215,5.153809603518317,4.846104322616676,6.143579912562781,2.6720291435871797,2.9062365652862177,2.344888184635954,4.718342042349271,3.896541000940817,6.173875652898507,2.9161268960233944,5.234280084782149,2.8178112916530345,4.789323869392474,3.8847494844903383,5.225478320184427,2.88618596587383,5.644967152060427,0.7024410889264668,3.54511945492662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.6,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.718945897027851,2.5,4.5842877507683095,5.962410583299171,3.2147346804168384,4.254938342835711,4.056622871124129,5.07527000282932,4.84730916962715,6.06358898592931,2.751845054513004,2.9116606194047576,2.4029445440856794,4.663301519755056,3.9072990152757265,6.094602295914146,2.9703784438998757,5.175485786138439,2.874159136970338,4.732535487410794,3.91401937750442,5.151025157975262,2.937941143522508,5.583963860456172,0.7817255626515174,3.534443677383894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.7,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.718945897027851,2.5,4.587286572728763,5.882466808889593,3.271153319436185,4.198220293052555,4.073040011217968,4.99697263690211,4.848441898618501,5.983597005549823,2.831547594490944,2.918553015291883,2.4608739326885343,4.608127377839668,3.9177717667793717,6.015290748987214,3.0248283117878643,5.11687510548226,2.9305601910809798,4.675799950970142,3.943383732011561,5.076609200786102,2.989881241189476,5.5231179382070525,0.8610306895505377,3.5239224204470885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00000
0.7999999999999999,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.6415569842082984,2.56333211012281,4.590054215828714,5.802514697274756,3.3275088902005554,4.141439577630662,4.090631043325128,4.9189306252070955,4.849494452147761,5.903603930030326,2.911084708722874,2.927146469757751,2.5186929300295255,4.552837563710097,3.9279361788300906,5.935939096656193,3.0795020724819446,5.058473222879329,2.987021861382185,4.619124737809555,3.9728408763388505,5.002229925123581,3.042023214482666,5.4624449242626945,0.9403576675632142,3.5135672015031765,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89437
0.8999999999999999,5.0,3.781054102972149,4.094157956721544,3.405842043278456,3.564168031849034,2.6266641719298875,4.59256428718216,5.722554084834626,3.3837993470431473,4.084594309855302,4.109366910263487,4.841155518070762,4.85045759745811,5.823609728045987,2.990621836074578,2.9357398027920745,2.5763195587091197,4.49734727927197,3.9377689955981876,5.856545673034302,3.13441766996232,5.000298682456792,3.043553027585512,4.562518843702211,4.002388896428731,4.92788670412282,3.0943859206577233,5.401962306908411,1.0196032551173875,3.502606505667881,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.03919
0.9999999999999999,5.0,3.781054102972149,4.020966841314969,3.473982050803709,3.4867791054495028,2.689996265458587,4.594746169175339,5.642583844176192,3.4400102399645935,4.027670364832371,4.129218247128858,4.763657618585308,4.851361481823094,5.743614834502369,3.070158952387522,2.944333237996998,2.633765096624116,4.441669544281611,3.947242145351893,5.777108531634678,3.1896074365493656,4.942384179402139,3.100164184713501,4.505992947967334,4.032026010663842,4.853578955806679,3.1469902755443666,5.341689743938515,1.0987459796327192,3.490926216446706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.28529
1.0999999999999999,5.0,3.781054102972149,3.9477753216767075,3.5421216241296554,3.409390500713743,2.7533287520436907,4.5966456700620855,5.5626063980030285,3.496221430983639,3.9707467141744908,4.156976199019879,4.688627650527099,4.852060161139433,5.6636178855154675,3.1496958672933255,2.95292853713472,2.690331869592754,4.385099232315752,3.962023442557396,5.698485931493735,3.24645263158108,4.88609364909902,3.1573551288930215,4.45005373181395,4.068750663792163,4.7825064586463535,3.201265692639211,5.282917479228189,1.177756603183514,3.478383435012168,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.76271
1.2,5.0,3.781054102972149,3.8745844969591854,3.6102619438909316,3.509995760173119,2.670996609055263,4.598181712157618,5.4826211457706275,3.552432702976542,3.9138231434771087,4.097129800574896,4.635538964414479,4.852683514439593,5.583620314110686,3.1496958672933255,2.95292853713472,2.7457414394244366,4.327394990088097,3.984126201221348,5.62159985954671,3.3053212724850334,4.831922779453782,3.2153213781164536,4.394918317142734,4.109390258412433,4.713597654063048,3.2575036473490746,5.226020269717956,1.256594351528734,3.464796329512623,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.48150
